king_index;navn;fødsel_år;død_år;reg_start;reg_slut
1;Gorm_den_Gamle;na;958;936;958
2;Harald_Blåtand;na;987;958;987
3;Svend_Tveskæg;na;1014;987;1014
4;Harald_Svensen;na;1018;1014;1018
5;Knud_den_Store;995;1035;1018;1035
6;Hardeknud;1020;1042;1035;1042
7;Magnus_den_Gode;1024;1047;1042;1047
8;Svend_Estridsen;na;1076;1047;1074
9;Harald_Hén;na;1080;1074;1080
10;Knud_den_Hellige;na;1086;1080;1086
11;Oluf_Hunger;na;1095;1086;1095
12;Erik_Ejegod;1056;1103;1095;1103
13;Niels;na;1134;1103;1134
14;Erik_Emune;na;1137;1134;1137
15;Erik_Lam;na;1146;1137;1146
16;Svend_Grathe;na;1157;1146;1157
17;Knud_Magnussen;na;1157;1146;1157
18;Valdemar_den_Store;1131;1182;1157;1182
19;Knud_6.;1163;1202;1182;1202
20;Valdemar_Sejr;1170;1241;1202;1241
21;Erik_Plovpenning;1216;1250;1241;1250
22;Abel;1218;1252;1250;1252
23;Christoffer_1.;1219;1259;1252;1259
24;Erik_Klipping;1249;1286;1259;1286
25;Erik_Menved;1274;1319;1286;1319
26;Christoffer_2.;1276;1332;1319;1326
27;Valdemar_Eriksen;1314;1330;1326;1329
28;Christoffer_2.;1276;1332;1329;1332
29;Interregnum;na;na;1332;1340
30;Valdemar_Atterdag;1320;1375;1340;1375
31;Oluf_2.;1370;1387;1375;1387
32;Margrete_1.;1353;1412;1387;1412
33;Erik_af_Pommern;1382;1459;1412;1439
34;Christoffer_af_Bayern;1416;1448;1439;1448
35;Christian_1.;1426;1481;1448;1481
36;Hans;1455;1513;1481;1513
37;Christian_2.;1481;1559;1513;1523
38;Frederik_1.;1471;1533;1523;1533
39;Interregnum;na;na;1533;1536
40;Christian_3.;1503;1559;1536;1559
41;Frederik_2.;1534;1588;1559;1588
42;Christian_4.;1577;1648;1588;1648
43;Frederik_3.;1609;1670;1648;1670
44;Christian_5.;1646;1699;1670;1699
45;Frederik_4.;1671;1730;1699;1730
46;Christian_6.;1699;1746;1730;1746
47;Frederik_5.;1723;1766;1746;1766
48;Christian_7.;1749;1808;1766;1808
49;Frederik_6.;1768;1839;1808;1839
50;Christian_8.;1786;1848;1839;1848
51;Frederik_7.;1808;1863;1848;1863
52;Christian_9.;1818;1906;1863;1906
53;Frederik_8.;1843;1912;1906;1912
54;Christian_10.;1870;1947;1912;1947
55;Frederik_9.;1899;1972;1947;1972
56;Margrete_2.;1940;na;1972;2024
57;Frederik_10.;1968;na;2024;na
